name,genotype,farm,cell,longitude,latitude,X_epsg102022,Y_epsg102022,tick,cape,cattle,bio5,ECF
169,0,74,15,-0.8978266361804429,-1.3077875864086528,-0.9004011243480747,-1.307313581071167,-0.4579785960344044,-0.0753990075955669,1.499080368975089,-1.1581077981626566,1
171,0,74,15,-0.8978266361804429,-1.3077875864086528,-0.9004011243480747,-1.307313581071167,-0.4579785960344044,-0.0753990075955669,1.499080368975089,-1.1581077981626566,1
172,0,75,15,-0.9453043818132332,-1.343651016577647,-0.947862599993232,-1.343158490303885,-0.4333416776406671,0.0367421020193703,3.753294039431947,-1.2026990903641503,1
173,0,75,15,-0.9453043818132332,-1.343651016577647,-0.947862599993232,-1.343158490303885,-0.4333416776406671,0.0367421020193703,3.753294039431947,-1.2026990903641503,1
174,0,75,15,-0.9453043818132332,-1.343651016577647,-0.947862599993232,-1.343158490303885,-0.4333416776406671,0.0367421020193703,3.753294039431947,-1.2026990903641503,1
259,0,80,23,-0.5004361787705209,-1.0528396762471028,-0.5031947889275558,-1.0527070911807794,0.0838268170535032,0.1798333736681849,-0.2940763281583996,-0.8674308224971375,1
262,0,81,23,-0.5030949325259572,-1.0723664545336733,-0.5059066791266729,-1.0722745589956504,0.1170615004707084,-0.1303155701502183,-0.4759486608595512,-0.8346563768519184,1
37,0,86,3,-1.5675149132704964,-1.6078925369942003,-1.5691736559209906,-1.60676204180412,-0.3169622432984624,0.6792226503597177,-0.4789246221551475,-1.6373114810316098,1
38,1,86,3,-1.5675149132704964,-1.6078925369942003,-1.5691736559209906,-1.60676204180412,-0.3169622432984624,0.6792226503597177,-0.4789246221551475,-1.6373114810316098,1
88,0,87,8,-1.1281575816481428,-1.3601333363324062,-1.1303146209492867,-1.3592680203112757,-0.4095456386973195,-0.0899131042522798,2.900129515977786,-1.305248412966618,1
